[DEBUG] 07-09-2021 02:26:49.813 PM [http-nio-8082-exec-1]  c.w.winningRecords.controller.WinningController - CR187365
[DEBUG] 14-09-2021 04:32:10.939 PM [http-nio-8082-exec-1]  c.w.winningRecords.controller.WinningController - CT026635
[DEBUG] 14-09-2021 04:32:10.940 PM [http-nio-8082-exec-1]  c.w.winningRecords.controller.WinningController - CT037540
[DEBUG] 14-09-2021 04:32:11.474 PM [http-nio-8082-exec-1]  c.w.winningRecords.controller.WinningController - CT026635
[DEBUG] 14-09-2021 04:32:11.474 PM [http-nio-8082-exec-1]  c.w.winningRecords.controller.WinningController - CT037540
[DEBUG] 16-09-2021 04:26:57.042 PM [http-nio-8082-exec-1]  c.w.winningRecords.controller.WinningController - CR011942
[DEBUG] 16-09-2021 04:26:57.043 PM [http-nio-8082-exec-1]  c.w.winningRecords.controller.WinningController - CR013705
[DEBUG] 16-09-2021 04:26:57.196 PM [http-nio-8082-exec-1]  c.w.winningRecords.controller.WinningController - CR011942
[DEBUG] 16-09-2021 04:26:57.196 PM [http-nio-8082-exec-1]  c.w.winningRecords.controller.WinningController - CR013705
[DEBUG] 16-09-2021 04:38:36.630 PM [http-nio-8082-exec-1]  c.w.winningRecords.controller.WinningController - CR011942
[DEBUG] 16-09-2021 04:38:36.631 PM [http-nio-8082-exec-1]  c.w.winningRecords.controller.WinningController - CR013705
[DEBUG] 16-09-2021 04:38:37.059 PM [http-nio-8082-exec-1]  c.w.winningRecords.controller.WinningController - CR011942
[DEBUG] 16-09-2021 04:38:37.059 PM [http-nio-8082-exec-1]  c.w.winningRecords.controller.WinningController - CR013705
[DEBUG] 16-09-2021 04:39:51.451 PM [http-nio-8082-exec-1]  c.w.winningRecords.controller.WinningController - CR011942
[DEBUG] 16-09-2021 04:39:51.452 PM [http-nio-8082-exec-1]  c.w.winningRecords.controller.WinningController - CR013705
[DEBUG] 16-09-2021 04:39:51.925 PM [http-nio-8082-exec-1]  c.w.winningRecords.controller.WinningController - CR011942
[DEBUG] 16-09-2021 04:39:51.926 PM [http-nio-8082-exec-1]  c.w.winningRecords.controller.WinningController - CR013705
